country,gini,hdi,co2,population
Norway,27,0.94387728,9.1928791,5211
Australia,34,0.93495825,16.5192099,23969
Switzerland,32,0.92961314,4.6252299,8299
Denmark,27,0.92332793,7.2483287,5669
Netherlands,29,0.92179351,10.0644897,16925
Germany,31,0.91607991,8.9178328,80689
Ireland,32,0.91554156,7.8807593,4688
Canada,34,0.91317898,14.1358134,35940
New Zealand,..,0.91349766,7.1240509,4529
Singapore,..,0.91179782,4.3201514,5604
Liechtenstein,..,0.90750119,1.4050962,38
Sweden,26,0.90681646,5.5184215,9779
United Kingdom,38,0.90669819,7.0857321,64716
Iceland,26,0.89941213,5.896829,329
Israel,43,0.89427298,8.9524135,8064
Luxembourg,..,0.89185163,20.8978117,567
Japan,32,0.89059321,9.2918343,126573
Belgium,33,0.89026299,8.8493983,11299
France,32,0.88810744,5.1850434,64395
Austria,30,0.88502726,7.7699834,8545
Finland,28,0.88272779,10.1640461,5503
Slovenia,25,0.88028084,7.5042597,2068
Spain,36,0.87612431,5.7907642,46122
Italy,36,0.87302298,6.7025576,59798
Czech Republic,26,0.87009082,10.4310881,10543
Greece,35,0.86518718,7.5560578,10955
Estonia,33,0.86083502,14.0498825,1313
Brunei Darussalam,..,0.85561586,24.3920134,423
Cyprus,..,0.84974544,6.7353758,1165
Qatar,..,0.84976836,44.0189264,2235
Andorra,..,0.84464191,5.9686855,70
Poland,33,0.84267783,8.3357867,38612
Lithuania,33,0.83942188,4.5375585,2878
Malta,..,0.83897834,6.0343216,419
Saudi Arabia,..,0.83727398,18.0724507,31540
Argentina,44,0.83557202,4.5620485,43417
United Arab Emirates,..,0.83546904,20.4338376,9157
Chile,51,0.83217848,4.6164454,17948
Portugal,..,0.8300953,4.7098496,10350
Hungary,29,0.82835045,4.8629899,9855
Bahrain,..,0.82392196,17.9473298,1377
Latvia,36,0.81876601,3.7868014,1971
Croatia,34,0.81753987,4.80153,4240
Kuwait,..,0.81627177,28.1026618,3892
Montenegro,31,0.80220101,4.1455476,626
Belarus,26,0.79836652,6.6825104,9496
Russian Federation,40,0.7978702,12.6473282,143457
Oman,..,0.79301948,20.2038945,4491
Romania,27,0.79279742,4.2105601,19511
Uruguay,41,0.79276298,2.2962007,3432
Kazakhstan,29,0.78798245,15.8100975,17625
Barbados,..,0.78545841,5.5801776,284
Antigua and Barbuda,..,0.78336726,5.8238043,92
Bulgaria,34,0.78167531,6.7143825,7150
Palau,..,0.78018106,10.8554305,21
Panama,52,0.7796776,2.6252762,3929
Malaysia,46,0.77924582,7.8988236,30331
Mauritius,36,0.77655244,3.1270708,1273
Seychelles,66,0.77245937,6.8357064,96
Trinidad and Tobago,..,0.77189382,37.1400542,1360
Serbia,30,0.77114978,6.799115,8851
Cuba,..,0.76901114,3.1723151,11390
Lebanon,..,0.76889784,4.6683125,5851
Costa Rica,49,0.7657469,1.7049745,4808
Turkey,40,0.76112029,4.3831045,78666
Sri Lanka,36,0.75665891,0.7299208,20715
Mexico,48,0.75620791,3.8761076,127017
Brazil,53,0.75529196,2.1913936,207848
Georgia,41,0.75411864,1.7691505,4000
Azerbaijan,33,0.75113917,3.6473791,9754
Grenada,..,0.74999318,2.4081374,107
Jordan,34,0.74832854,3.6011471,7595
Ukraine,25,0.74700522,6.262352,44824
Algeria,..,0.73562377,3.3160379,39667
Peru,45,0.73420313,1.7832331,31377
Albania,29,0.7327658,1.6070377,2897
Armenia,30,0.73298258,1.6716569,3018
Bosnia and Herzegovina,33,0.73253033,6.1966521,3810
Ecuador,47,0.73167444,2.3540174,16144
China,37,0.72749494,6.710302,1376049
Fiji,43,0.72713577,1.4248132,892
Mongolia,37,0.72662059,6.9151465,2959
Thailand,39,0.72583614,4.5344917,67959
Dominica,..,0.72378831,1.7461416,73
Libya,..,0.72446401,6.2049143,6278
Tunisia,36,0.72119113,2.4024556,11254
Colombia,54,0.7201704,1.5606291,48229
Jamaica,46,0.7185296,2.8726557,2793
Tonga,..,0.71704073,0.983562,106
Belize,..,0.71498223,1.6709043,359
Dominican Republic,46,0.71502847,2.1829079,10528
Suriname,..,0.71428615,3.6499134,543
Maldives,37,0.70636529,2.9277639,364
Samoa,..,0.70209394,1.2521101,193
Botswana,60,0.69791874,2.323345,2262
Turkmenistan,..,0.68752052,12.1836666,5374
Gabon,42,0.68351293,1.4181657,1725
Indonesia,38,0.68375956,2.303781,257564
Paraguay,48,0.67916436,0.8419152,6639
Uzbekistan,35,0.67546612,3.9149213,29893
Philippines,43,0.66821835,0.8678453,100699
El Salvador,42,0.66578429,1.1039986,6127
South Africa,65,0.66587939,9.2572165,54490
Iraq,30,0.65386084,4.2016351,36423
Guyana,..,0.63571575,2.357722,767
Nicaragua,46,0.63143213,0.843542,6082
Morocco,41,0.62795366,1.7379155,34378
Namibia,61,0.62761631,1.2391605,2459
Guatemala,52,0.62720879,0.7480551,16343
Tajikistan,31,0.6244555,0.3589476,8482
India,34,0.60869273,1.6628735,1311051
Honduras,57,0.60605461,1.1037451,8075
Bhutan,39,0.60518459,0.7662056,775
Timor-Leste,30,0.59476108,0.1636481,1185
Syrian Arab Republic,36,0.59372056,2.7369909,18502
Vanuatu,..,0.59387121,0.5912658,265
Kiribati,..,0.59023696,0.5956221,112
Equatorial Guinea,..,0.58656086,8.9072415,845
