country;co2
Afghanistan;0.4252621
Albania;1.6070377
Algeria;3.3160379
Andorra;5.9686855
Angola;1.3540075
Antigua and Barbuda;5.8238043
Arab World;4.7244997
Argentina;4.5620485
Armenia;1.6716569
Aruba;23.9224121
Australia;16.5192099
Austria;7.7699834
Azerbaijan;3.6473791
Bahamas, The;5.1998440
Bahrain;17.9473298
Bangladesh;0.3720172
Barbados;5.5801776
Belarus;6.6825104
Belgium;8.8493983
Belize;1.6709043
Benin;0.5099622
Bermuda;6.0772102
Bhutan;0.7662056
Bolivia;1.5994990
Bosnia and Herzegovina;6.1966521
Botswana;2.3233450
Brazil;2.1913936
Brunei Darussalam;24.3920134
Bulgaria;6.7143825
Burkina Faso;0.1199806
Burundi;0.0213499
Cambodia;0.3080732
Cameroon;0.2680918
Canada;14.1358134
Cape Verde;0.8590614
Caribbean small states;9.6929603
Cayman Islands;10.3049311
Central African Republic;0.0631278
Chad;0.0438304
Chile;4.6164454
China;6.7103020
Colombia;1.5606291
Comoros;0.2202335
Congo, Dem. Rep.;0.0503027
Congo, Rep.;0.5380984
Costa Rica;1.7049745
Cote d'Ivoire;0.3128777
Croatia;4.8015300
Cuba;3.1723151
Cyprus;6.7353758
Czech Republic;10.4310881
Denmark;7.2483287
Djibouti;0.5619409
Dominica;1.7461416
Dominican Republic;2.1829079
East Asia & Pacific (all income levels);5.8595485
East Asia & Pacific (developing only);5.3024994
Ecuador;2.3540174
Egypt, Arab Rep.;2.6351152
El Salvador;1.1039986
Equatorial Guinea;8.9072415
Eritrea;0.1087184
Estonia;14.0498825
Ethiopia;0.0839431
Euro area;7.1324830
Europe & Central Asia (all income levels);7.5413342
Europe & Central Asia (developing only);5.4127074
European Union;7.0697979
Faeroe Islands;11.7212117
Fiji;1.4248132
Finland;10.1640461
France;5.1850434
French Polynesia;3.1679527
Gabon;1.4181657
Gambia, The;0.2410984
Georgia;1.7691505
Germany;8.9178328
Ghana;0.4043798
Greece;7.5560578
Greenland;12.4403410
Grenada;2.4081374
Guatemala;0.7480551
Guinea;0.2294234
Guinea-Bissau;0.1468107
Guyana;2.3577220
Haiti;0.2179620
Heavily indebted poor countries (HIPC);0.2301933
High income;11.0702805
High income: nonOECD;11.6603933
High income: OECD;10.9778371
Honduras;1.1037451
Hong Kong SAR, China;5.6952685
Hungary;4.8629899
Iceland;5.8968290
India;1.6628735
Indonesia;2.3037810
Iran, Islamic Rep.;7.8021451
Iraq;4.2016351
Ireland;7.8807593
Israel;8.9524135
Italy;6.7025576
Jamaica;2.8726557
Japan;9.2918343
Jordan;3.6011471
Kazakhstan;15.8100975
Kenya;0.3275692
Kiribati;0.5956221
Korea, Dem. Rep.;2.9871821
Korea, Rep.;11.8407569
Kuwait;28.1026618
Kyrgyz Republic;1.1995916
Lao PDR;0.1889105
Latin America & Caribbean (all income levels);2.9333292
Latin America & Caribbean (developing only);2.3841756
Latvia;3.7868014
Least developed countries: UN classification;0.2687073
Lebanon;4.6683125
Lesotho;1.0822696
Liberia;0.2184250
Libya;6.2049143
Liechtenstein;1.4050962
Lithuania;4.5375585
Low & middle income;3.1031744
Low income;0.2709645
Lower middle income;1.5089927
Luxembourg;20.8978117
Macao SAR, China;2.1330609
Macedonia, FYR;4.5192101
Madagascar;0.1129928
Malawi;0.0792315
Malaysia;7.8988236
Maldives;2.9277639
Mali;0.0799564
Malta;6.0343216
Marshall Islands;1.9542072
Mauritania;0.6272255
Mauritius;3.1270708
Mexico;3.8761076
Micronesia, Fed. Sts.;1.2403359
Middle East & North Africa (all income levels);5.9628653
Middle East & North Africa (developing only);3.8782193
Middle income;3.4244079
Moldova;1.3988218
Mongolia;6.9151465
Montenegro;4.1455476
Morocco;1.7379155
Mozambique;0.1311898
Myanmar;0.2002852
Namibia;1.2391605
Nepal;0.1594745
Netherlands;10.0644897
New Caledonia;15.1732953
New Zealand;7.1240509
Nicaragua;0.8435420
Niger;0.0839582
Nigeria;0.5374976
North America;16.7319858
Norway;9.1928791
OECD members;9.9071684
Oman;20.2038945
Other small states;1.5480967
Pacific island small states;1.0979997
Pakistan;0.9411711
Palau;10.8554305
Panama;2.6252762
Papua New Guinea;0.7468952
Paraguay;0.8419152
Peru;1.7832331
Philippines;0.8678453
Poland;8.3357867
Portugal;4.7098496
Qatar;44.0189264
Romania;4.2105601
Russian Federation;12.6473282
Rwanda;0.0628742
Samoa;1.2521101
Sao Tome and Principe;0.5879093
Saudi Arabia;18.0724507
Senegal;0.5883341
Serbia;6.7991150
Seychelles;6.8357064
Sierra Leone;0.1520442
Singapore;4.3201514
Slovak Republic;6.3675459
Slovenia;7.5042597
Small states;3.4597910
Solomon Islands;0.3683042
Somalia;0.0587069
South Africa;9.2572165
South Asia;1.4089971
Spain;5.7907642
Sri Lanka;0.7299208
St. Kitts and Nevis;5.0509642
St. Lucia;2.2704236
St. Vincent and the Grenadines;2.1799234
Sub-Saharan Africa (all income levels);0.8309411
Sub-Saharan Africa (developing only);0.8235961
Sudan;0.3495487
Suriname;3.6499134
Swaziland;0.8649883
Sweden;5.5184215
Switzerland;4.6252299
Syrian Arab Republic;2.7369909
Tajikistan;0.3589476
Tanzania;0.1549349
Thailand;4.5344917
Timor-Leste;0.1636481
Togo;0.3194436
Tonga;0.9835620
Trinidad and Tobago;37.1400542
Tunisia;2.4024556
Turkey;4.3831045
Turkmenistan;12.1836666
Turks and Caicos Islands;6.0101491
Uganda;0.1108866
Ukraine;6.2623520
United Arab Emirates;20.4338376
United Kingdom;7.0857321
United States;17.0202163
Upper middle income;5.7105635
Uruguay;2.2962007
Uzbekistan;3.9149213
Vanuatu;0.5912658
Venezuela, RB;6.4163336
Vietnam;1.9718892
West Bank and Gaza;0.5724069
World;4.9446489
Yemen, Rep.;0.9199676
Zambia;0.2124496
Zimbabwe;0.6916979
