country;hdi
Norway;0.94387728
Australia;0.93495825
Switzerland;0.92961314
Denmark;0.92332793
Netherlands;0.92179351
Germany;0.91607991
Ireland;0.91554156
United States;0.91495935
Canada;0.91317898
New Zealand;0.91349766
Singapore;0.91179782
Hong Kong, China (SAR);0.90995187
Liechtenstein;0.90750119
Sweden;0.90681646
United Kingdom;0.90669819
Iceland;0.89941213
Korea (Republic of);0.89833413
Israel;0.89427298
Luxembourg;0.89185163
Japan;0.89059321
Belgium;0.89026299
France;0.88810744
Austria;0.88502726
Finland;0.88272779
Slovenia;0.88028084
Spain;0.87612431
Italy;0.87302298
Czech Republic;0.87009082
Greece;0.86518718
Estonia;0.86083502
Brunei Darussalam;0.85561586
Cyprus;0.84974544
Qatar;0.84976836
Andorra;0.84464191
Slovakia;0.84357212
Poland;0.84267783
Lithuania;0.83942188
Malta;0.83897834
Saudi Arabia;0.83727398
Argentina;0.83557202
United Arab Emirates;0.83546904
Chile;0.83217848
Portugal;0.83009530
Hungary;0.82835045
Bahrain;0.82392196
Latvia;0.81876601
Croatia;0.81753987
Kuwait;0.81627177
Montenegro;0.80220101
Belarus;0.79836652
Russian Federation;0.79787020
Oman;0.79301948
Romania;0.79279742
Uruguay;0.79276298
Bahamas;0.78995806
Kazakhstan;0.78798245
Barbados;0.78545841
Antigua and Barbuda;0.78336726
Bulgaria;0.78167531
Palau;0.78018106
Panama;0.77967760
Malaysia;0.77924582
Mauritius;0.77655244
Seychelles;0.77245937
Trinidad and Tobago;0.77189382
Serbia;0.77114978
Cuba;0.76901114
Lebanon;0.76889784
Costa Rica;0.76574690
Iran (Islamic Republic of);0.76559071
Venezuela (Bolivarian Republic of);0.76225240
Turkey;0.76112029
Sri Lanka;0.75665891
Mexico;0.75620791
Brazil;0.75529196
Georgia;0.75411864
Saint Kitts and Nevis;0.75186228
Azerbaijan;0.75113917
Grenada;0.74999318
Jordan;0.74832854
The former Yugoslav Republic of Macedonia;0.74725286
Ukraine;0.74700522
Algeria;0.73562377
Peru;0.73420313
Albania;0.73276580
Armenia;0.73298258
Bosnia and Herzegovina;0.73253033
Ecuador;0.73167444
Saint Lucia;0.72905645
China;0.72749494
Fiji;0.72713577
Mongolia;0.72662059
Thailand;0.72583614
Dominica;0.72378831
Libya;0.72446401
Tunisia;0.72119113
Colombia;0.72017040
Saint Vincent and the Grenadines;0.72003539
Jamaica;0.71852960
Tonga;0.71704073
Belize;0.71498223
Dominican Republic;0.71502847
Suriname;0.71428615
Maldives;0.70636529
Samoa;0.70209394
Botswana;0.69791874
Moldova (Republic of);0.69330269
Egypt;0.68994866
Turkmenistan;0.68752052
Gabon;0.68351293
Indonesia;0.68375956
Paraguay;0.67916436
Palestine, State of;0.67749261
Uzbekistan;0.67546612
Philippines;0.66821835
El Salvador;0.66578429
South Africa;0.66587939
Viet Nam;0.66571735
Bolivia (Plurinational State of);0.66183076
Kyrgyzstan;0.65527351
Iraq;0.65386084
Cabo Verde;0.64624027
Micronesia (Federated States of);0.63959017
Guyana;0.63571575
Nicaragua;0.63143213
Morocco;0.62795366
Namibia;0.62761631
Guatemala;0.62720879
Tajikistan;0.62445550
India;0.60869273
Honduras;0.60605461
Bhutan;0.60518459
Timor-Leste;0.59476108
Syrian Arab Republic;0.59372056
Vanuatu;0.59387121
Congo;0.59062154
Kiribati;0.59023696
Equatorial Guinea;0.58656086
Zambia;0.58550986
Ghana;0.57909029
Lao People's Democratic Republic;0.57504489
Bangladesh;0.57009997
Cambodia;0.55475832
Sao Tome and Principe;0.55500391
Kenya;0.54840928
Nepal;0.54753652
Pakistan;0.53838176
Myanmar;0.53556068
Angola;0.53159142
Swaziland;0.53063315
Tanzania (United Republic of);0.52121436
Nigeria;0.51402400
Cameroon;0.51180653
Madagascar;0.50986558
Zimbabwe;0.50874739
Mauritania;0.50586721
Solomon Islands;0.50563742
Papua New Guinea;0.50525936
Comoros;0.50318352
Yemen;0.49811025
Lesotho;0.49653215
Togo;0.48353755
Haiti;0.48337330
Rwanda;0.48324052
Uganda;0.48267209
Benin;0.47963511
Sudan;0.47911312
Djibouti;0.47044274
South Sudan;0.46669886
Senegal;0.46588913
Afghanistan;0.46526426
C™te d'Ivoire;0.46222200
Malawi;0.44541556
Ethiopia;0.44181595
Gambia;0.44064950
Congo (Democratic Republic of the);0.43313535
Liberia;0.42969511
Guinea-Bissau;0.41960507
Mali;0.41928884
Mozambique;0.41642756
Sierra Leone;0.41277943
Guinea;0.41128163
Burkina Faso;0.40228757
Burundi;0.39992833
Chad;0.39190572
Eritrea;0.39089902
Central African Republic;0.35013107
Niger;0.34825439
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
