country;population
Burundi;11179
Comoros;788
Djibouti;888
Eritrea;5228
Ethiopia;99391
Kenya;46050
Madagascar;24235
Malawi;17215
Mauritius;1273
Mayotte;240
Mozambique;27978
R�union;861
Rwanda;11610
Seychelles;96
Somalia;10787
South Sudan;12340
Uganda;39032
United Republic of Tanzania;53470
Zambia;16212
Zimbabwe;15603
Angola;25022
Cameroon;23344
Central African Republic;4900
Chad;14037
Congo;4620
Democratic Republic of the Congo;77267
Equatorial Guinea;845
Gabon;1725
Sao Tome and Principe;190
Algeria;39667
Egypt;91508
Libya;6278
Morocco;34378
Sudan;40235
Tunisia;11254
Western Sahara;573
Botswana;2262
Lesotho;2135
Namibia;2459
South Africa;54490
Swaziland;1287
Benin;10880
Burkina Faso;18106
Cabo Verde;521
C�te d'Ivoire;22702
Gambia;1991
Ghana;27410
Guinea;12609
Guinea-Bissau;1844
Liberia;4503
Mali;17600
Mauritania;4068
Niger;19899
Nigeria;182202
Saint Helena;4
Senegal;15129
Sierra Leone;6453
Togo;7305
China;1376049
China, Hong Kong SAR;7288
China, Macao SAR;588
Dem. People's Republic of Korea;25155
Japan;126573
Mongolia;2959
Republic of Korea;50293
Other non-specified areas;23381
Kazakhstan;17625
Kyrgyzstan;5940
Tajikistan;8482
Turkmenistan;5374
Uzbekistan;29893
Afghanistan;32527
Bangladesh;160996
Bhutan;775
India;1311051
Iran (Islamic Republic of);79109
Maldives;364
Nepal;28514
Pakistan;188925
Sri Lanka;20715
Brunei Darussalam;423
Cambodia;15578
Indonesia;257564
Lao People's Democratic Republic;6802
Malaysia;30331
Myanmar;53897
Philippines;100699
Singapore;5604
Thailand;67959
Timor-Leste;1185
Viet Nam;93448
Armenia;3018
Azerbaijan;9754
Bahrain;1377
Cyprus;1165
Georgia;4000
Iraq;36423
Israel;8064
Jordan;7595
Kuwait;3892
Lebanon;5851
Oman;4491
Qatar;2235
Saudi Arabia;31540
State of Palestine;4668
Syrian Arab Republic;18502
Turkey;78666
United Arab Emirates;9157
Yemen;26832
Belarus;9496
Bulgaria;7150
Czech Republic;10543
Hungary;9855
Poland;38612
Republic of Moldova;4069
Romania;19511
Russian Federation;143457
Slovakia;5426
Ukraine;44824
Channel Islands;164
Denmark;5669
Estonia;1313
Faeroe Islands;48
Finland;5503
Iceland;329
Ireland;4688
Isle of Man;88
Latvia;1971
Lithuania;2878
Norway;5211
Sweden;9779
United Kingdom;64716
Albania;2897
Andorra;70
Bosnia and Herzegovina;3810
Croatia;4240
Gibraltar;32
Greece;10955
Holy See;1
Italy;59798
Malta;419
Montenegro;626
Portugal;10350
San Marino;32
Serbia;8851
Slovenia;2068
Spain;46122
TFYR Macedonia;2078
Austria;8545
Belgium;11299
France;64395
Germany;80689
Liechtenstein;38
Luxembourg;567
Monaco;38
Netherlands;16925
Switzerland;8299
Anguilla;15
Antigua and Barbuda;92
Aruba;104
Bahamas;388
Barbados;284
British Virgin Islands;30
Caribbean Netherlands;25
Cayman Islands;60
Cuba;11390
Cura�ao;157
Dominica;73
Dominican Republic;10528
Grenada;107
Guadeloupe;468
Haiti;10711
Jamaica;2793
Martinique;396
Montserrat;5
Puerto Rico;3683
Saint Kitts and Nevis;56
Saint Lucia;185
Saint Vincent and the Grenadines;109
Sint Maarten (Dutch part);39
Trinidad and Tobago;1360
Turks and Caicos Islands;34
United States Virgin Islands;106
Belize;359
Costa Rica;4808
El Salvador;6127
Guatemala;16343
Honduras;8075
Mexico;127017
Nicaragua;6082
Panama;3929
Argentina;43417
Bolivia (Plurinational State of);10725
Brazil;207848
Chile;17948
Colombia;48229
Ecuador;16144
Falkland Islands (Malvinas);3
French Guiana;269
Guyana;767
Paraguay;6639
Peru;31377
Suriname;543
Uruguay;3432
Venezuela (Bolivarian Republic of);31108
Bermuda;62
Canada;35940
Greenland;56
Saint Pierre and Miquelon;6
United States of America;321774
Australia;23969
New Zealand;4529
Fiji;892
New Caledonia;263
Papua New Guinea;7619
Solomon Islands;584
Vanuatu;265
Guam;170
Kiribati;112
Marshall Islands;53
Micronesia (Fed. States of);104
Nauru;10
Northern Mariana Islands;55
Palau;21
American Samoa;56
Cook Islands;21
French Polynesia;283
Niue;2
Samoa;193
Tokelau;1
Tonga;106
Tuvalu;10
Wallis and Futuna Islands;13
